tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 2 ; 5 ; custom ; 1 ; 0,7980549335479736 ; - 4.287138584247258
2000 ; 2 ; 5 ; custom ; 1 ; 0,6065709590911865 ; - 3.690773067331671
2000 ; 2 ; 5 ; custom ; 1 ; 0,4027378559112549 ; - 3.093812375249501
2000 ; 2 ; 5 ; custom ; 1 ; 0,6477429866790771 ; - 3.9181432493137014
2000 ; 2 ; 5 ; custom ; 1 ; 0,6607742309570312 ; - 3.914235851408626
2000 ; 2 ; 5 ; custom ; 1 ; 0,6651437282562256 ; - 3.766525318034423
2000 ; 2 ; 5 ; custom ; 1 ; 0,6505231857299805 ; - 3.7406483790523692
2000 ; 2 ; 5 ; custom ; 1 ; 0,3004281520843506 ; - 2.7188825143427287
2000 ; 2 ; 5 ; custom ; 1 ; 0,6418333053588867 ; - 3.7166375654776753
2000 ; 2 ; 5 ; custom ; 1 ; 0,3585798740386963 ; - 2.8685457720129706
2000 ; 2 ; 5 ; custom ; 1 ; 0,4739091396331787 ; - 3.3191914150237083
2000 ; 2 ; 5 ; custom ; 1 ; 0,5282397270202637 ; - 3.594608087868198
2000 ; 2 ; 5 ; custom ; 1 ; 0,39029574394226074 ; - 2.694610778443114
2000 ; 2 ; 5 ; custom ; 1 ; 0,5429880619049072 ; - 3.768405290741203
2000 ; 2 ; 5 ; custom ; 1 ; 0,40819692611694336 ; - 2.942643391521197
2000 ; 2 ; 5 ; custom ; 1 ; 0,6435840129852295 ; - 4.039900249376559
2000 ; 2 ; 5 ; custom ; 1 ; 0,5761370658874512 ; - 2.9683212771264653
2000 ; 2 ; 5 ; custom ; 1 ; 0,4186360836029053 ; - 3.092269326683292
2000 ; 2 ; 5 ; custom ; 1 ; 0,6484417915344238 ; - 3.790523690773067
2000 ; 2 ; 5 ; custom ; 1 ; 0,7401289939880371 ; - 3.966076328261412
2000 ; 2 ; 10 ; custom ; 1 ; 1,6690850257873535 ; - 5.911698677974557
2000 ; 2 ; 10 ; custom ; 1 ; 0,7969651222229004 ; - 4.285002491280518
2000 ; 2 ; 10 ; custom ; 1 ; 1,5696618556976318 ; - 5.788423153692615
2000 ; 2 ; 10 ; custom ; 1 ; 2,1493051052093506 ; - 6.327852516193324
2000 ; 2 ; 10 ; custom ; 1 ; 1,4763259887695312 ; - 5.286783042394015
2000 ; 2 ; 10 ; custom ; 1 ; 2,6946001052856445 ; - 6.882793017456359
2000 ; 2 ; 10 ; custom ; 1 ; 1,8575780391693115 ; - 5.867665418227216
2000 ; 2 ; 10 ; custom ; 1 ; 1,5095770359039307 ; - 5.289421157684631
2000 ; 2 ; 10 ; custom ; 1 ; 1,9458050727844238 ; - 6.084788029925187
2000 ; 2 ; 10 ; custom ; 1 ; 2,265305757522583 ; - 6.287425149700598
2000 ; 2 ; 10 ; custom ; 1 ; 1,8208260536193848 ; - 6.2577910745450005
2000 ; 2 ; 10 ; custom ; 1 ; 1,8117399215698242 ; - 5.829596412556054
2000 ; 2 ; 10 ; custom ; 1 ; 2,8961904048919678 ; - 6.806282722513089
2000 ; 2 ; 10 ; custom ; 1 ; 1,183337926864624 ; - 4.840319361277445
2000 ; 2 ; 10 ; custom ; 1 ; 2,5775680541992188 ; - 6.6068312141610575
2000 ; 2 ; 10 ; custom ; 1 ; 2,1488521099090576 ; - 6.527154957648232
